	_Lo_Whipa_Base_Comb.	_Lo_Whipa_Base_Comb.	_Lo_Whipa_Base_Comb.	ZIPA-T-SMALL	ZIPA-T-SMALL	ZIPA-T-SMALL	_Lo_Whipa_Large_Comb.	_Lo_Whipa_Large_Comb.	_Lo_Whipa_Large_Comb.	_Lo_Whipa_Base_ASC	_Lo_Whipa_Base_ASC	_Lo_Whipa_Base_ASC	ZIPA-T-LARGE	ZIPA-T-LARGE	ZIPA-T-LARGE	ZIPA-CR-NS-SMALL	ZIPA-CR-NS-SMALL	ZIPA-CR-NS-SMALL	Whipa_Large_CV	Whipa_Large_CV	Whipa_Large_CV	MultIPA	MultIPA	MultIPA	ZIPA-CR-NS-LARGE	ZIPA-CR-NS-LARGE	ZIPA-CR-NS-LARGE	_Lo_Whipa_Base_CV	_Lo_Whipa_Base_CV	_Lo_Whipa_Base_CV	Whipa_Base_CV	Whipa_Base_CV	Whipa_Base_CV	_Lo_Whipa_Large_ASC	_Lo_Whipa_Large_ASC	_Lo_Whipa_Large_ASC	_Lo_Whipa_Large_CV	_Lo_Whipa_Large_CV	_Lo_Whipa_Large_CV
s w ɜː f i	swaɾfi	22.5	2	swɛɹfi	21.667	4	swaɾɕɛ	28.75	2	swärfi	22.5	2	swɛɹfi	21.667	4	swɛɹfi	21.667	4	sɯwɛɾɸi	42.5	2	sweɾfi	22.5	2	swɛɹfi	21.667	4	swaɾfi	22.5	2	sɯɒɒkɯsɯsɯsɯsɯsɯsɯsɯ	308.75	1	Swerfi	22.5	1	swɛɾfɛ	23.333	4
m ɒ l d iː v z	maudiːsː	21.726	2	moʊdiz	20.536	2	mɑwdis	21.429	2	mæwti	36.012	2	moʊdiz	20.536	2	moʊdiz	20.536	4	mɑudis	22.024	2	mäwde̞s	21.726	2	moldiz	15.476	4	mɒudis	21.131	2	mɯːɯːɯːɯɯɯɯɯɯɯɯ	94.94	1	maodiːth	12.202	2	mɒudis	21.131	2
f iː d ɪ ŋ	fiːdeːng	24.167	2	fidɪŋ	833	4	fiːdiŋ	833	2	feding	24.167	2	fidɪŋ	833	4	fidɪŋ	833	4	çiɾiŋ	7.917	2	fiːdin	4.583	2	fidɪŋ	833	4	fiɾiɣ	7.083	2	fiːdɯn	4.583	1	fiːriːn	8.333	2	fiːɾiŋ	3.75	2
l ə ʊ k ə s	lɑkæsː	21.181	2	loʊkəs	1.389	2	lɛwkɾɛsː	20.833	2	lækas	20.139	2	lukəs	18.056	2	l̴oʊkəs	2.083	2	lokɾɛs	12.5	2	løykøɕ	9.028	2	l̴oʊkəs	2.083	2	lokis	20.139	2	lɯkɯsɯsɯsɯsɯsɯsɯsɯsɯ	239.583	1	 Luːkɪs	20.139	1	lɯkɨs	18.75	2
f ɔː s	4s	47.222	1	fɔɹs	34.722	4	fo̞ːsː	2.778	4	faas	38.889	2	fɔɹs	34.722	4	fɔɹs	34.722	4	foɾs	36.111	4	foɾs	36.111	4	fɔɹs	34.722	4	foɾse	69.444	1	ɯɯsɯ	50.0	1	forːs	36.111	4	foɾs	36.111	4
ɒ f ɚ	oːoːoː	22.222	1	ɔf	36.111	2	ɔfːɛ	9.722	2	ʕθæʕθæʕθæʕθæʕθæʕθæʕθ	579.861	1	ɔf	36.111	4	ɔfɜ	9.722	4	ɔfɛ	8.333	2	ɔfɛ	8.333	2	ɔfə	9.722	2	ɒtɒrɒ	78.472	2	ɒtːɒ	13.194	2	ʔafːa	43.056	2	ɔfɛ	8.333	2
k uː m	täwäwäwäwäwäwäwäwäwä	586.806	1	koʊm	37.5	2	komb	37.5	2	 kæm	8.333	2	koʊm	37.5	4	koʊmb	70.833	4	kɛmbɛ	75.0	2	kɛw	18.056	2	koʊmb	70.833	2	kɒnbɒn	108.333	1	ko̞ːbɯːbɯkɯːbɯkɯbɯkɯ	438.889	1	koʔm	37.5	2	comb	38.889	1
b ɛ l t ɪ d	bɑltɑd	5.556	2	bɛl̴tɪd	694	4	bɛltɨd	1.389	4	 beltɪd	694	4	bɛltəd	1.389	2	bɛl̴tɪd	694	4	bɛltɛd	694	2	bɛlt͡sɨd	2.778	4	bɛltəd	1.389	2	bɛltɛd	694	2	beɒtɒtɒd	40.278	2	belted	2.083	2	bɛltɛd	694	2
s p ɹ ɪ t	sprɖɖɕ	30.833	2	spɹɪt	0.0	0	ʂpɾɛt	4.583	2	ʃbrit	6.25	2	spɹɪt	0.0	0	spɹɪt	0.0	0	ʃpɾɛtː	6.25	2	spɨt͡ɕ	25.833	2	spɹɪt	0.0	0	spɾit	3.75	2	spɯɯɖɯ	27.083	1	sprit	3.75	2	spɾɛt	3.75	2
p ɜː ɹ d͡ʒ ə ɹ i	pɕɕɕwɛjːoːiː	45.833	1	pɜ˞dʒəwi	8.929	2	pɕɛɾd͡ʒɯiɾi	34.524	2	ʔæːdʒæri	13.393	2	pə˞dʒu	36.607	4	pa˞dʒuɪ	24.702	4	pɛɾd͡ʒɯɾi	5.952	2	pad͡ʒmi	34.524	2	pə˞dʒuwɪ	11.905	2	paɾd͡ʑoɾi	7.738	2	pɒd͡ʒɯɾ	33.631	2	pæːʒuːri	22.321	2	paːd͡ʒɯi	30.357	2
d e ɪ v ɪ s	dɑvæs	20.486	2	deɪvəs	1.389	2	davis	18.75	4	dɪːvis	18.056	2	deɪvəs	1.389	2	deɪvəs	1.389	2	dɛvis	18.056	2	teːvɛs	18.75	2	deɪvəs	1.389	2	dɛvis	18.056	2	dɛvɛs	18.056	2	dæːviːs	19.444	2	dɛivɛs	2.083	2
iː t ə	iːtɾoːm	70.833	4	eɪtɜ˞	39.583	2	ʋiːtːa	37.5	4	ʔiːtaʔ	69.444	2	itə	1.389	4	itə	1.389	4	itä	4.167	4	ita	4.167	2	itə	1.389	4	ɾitɯɾ	69.444	1	itɯːɯ	36.111	2	 Ita	4.167	1	itɛ	2.778	2
p ɪ n k ʊ ʃ n̩	pinkɯʂɻn	16.667	2	pɪnkʊʃən	14.881	2	pincushion	47.024	4	pinkːasʃæ	21.726	2	pɪnkʊʃən	14.881	4	pɪnkʊʃən	14.881	4	piɴkɯʂɨn	18.75	2	pinkɛɕni	18.452	2	pɪnkʊʃən	14.881	4	pinkøʃe	5.655	2	pinkøʋɛʋɛ	38.69	1	 Pincushion	47.024	1	pinkɾɕɛn	21.429	2
ʌ n l i ʃ	hænliʃ	21.667	2	ənlɪʃ	1.667	4	anliʃ	833	2	ɣɑnliʃ	21.25	2	anlɪʃ	1.667	2	anlɪʃ	1.667	4	anliʃ	833	2	anliʃ	833	2	ənlɪʃ	1.667	2	ɒnliʃ	1.667	2	ɒnliʃ	1.667	2	 Anliʃ	833	2	anliːʃ	1.667	2
ɪ n d ɪ t ɜː ɹ m ɪ n ə t	indɑtɑrmɑnɑt	6.771	2	ɪndɪtə˞mənət	10.243	2	inditːɛrminɛt	3.646	4	ʔindaterminit	13.715	2	ɪndɪtə˞mənət	10.243	2	ɪndɪtɜ˞məneɪt	11.806	2	inditɛɾminit	3.993	2	je̞ndɨ͡ʂamɛnɨ	26.736	2	ɪndɪtə˞mənɪt	10.937	4	indɛtɾmini	19.965	2	indɯtɯtɯtɯɯtɯ	20.833	1	 indeterminate	12.674	1	indetɛrminɛt	3.646	2
m ə ʊ t ə ɹ b a ɪ k	moːtäbäikː	22.917	2	moʊtɜ˞baɪk	11.875	2	mɔːtɔrbikɛ	20.208	4	 motorbike	20.625	1	moʊtɜ˞bɹaɪk	8.125	2	moʊtɜ˞baɪk	11.875	2	moɻɻɯɾbike	15.0	2	mørybɛk	35.417	2	moʊtə˞baɪk	11.875	4	moɾebɯk	33.958	2	mɯːɯɯɯɯɯɯɯmɯɯɯɯ	52.5	1	 motorbike	20.625	1	mo̞to̞bɯɾɯkɯ	23.542	2
p ɒ l ə n	poːoːoːoːm	33.333	1	pɑl̴ən	2.083	4	pɔlːɪn	4.167	2	 Pollæn	23.333	2	poʊl̴ən	21.667	2	poʊl̴ən	21.667	2	pɔlɛn	2.5	2	pɔwɔn	9.583	2	poʊlən	20.833	2	poːlɛn	2.5	2	poɒn	23.333	2	 poln	20.833	1	pɔlɛn	2.5	2
b o ʊ s t ɚ	boːstaː	21.528	2	boʊstə	3.472	4	boːstɛ	20.139	2	boːstæ	20.139	2	boʊstɜ˞	1.736	2	boʊstə˞	1.736	4	boːsta	20.833	2	bɨystɛ	6.25	2	boʊstə˞	1.736	4	boːstɒ	20.139	2	bɯɒstɒ	6.944	2	boːstˤɑ	21.181	2	bɔɕtɛ	22.917	2
ɪ n t ɜː p ɹ ə t e ɪ ʃ ə n	intɛpɾɛtɛtɕiːp	9.135	2	ɪntɜ˞pɹɪteɪʃən	1.763	4	intarpetaːʂːɛn	16.506	2	ʔinterpratɪtʔiːn	25.481	2	ɪntɜ˞pɹɪteɪʃən	1.763	2	ɪntɜ˞pɹɪteɪʃən	1.763	4	intɛrpɯɾtɛʂɛn	11.058	2	ent͡ʃaɾpɯte̞son	17.147	2	ɪntə˞pɹɪteɪʃən	1.763	4	intɒrpɾɯteːt͡sɯn	16.827	2	intɛpɯtɛt͡ʃi	26.282	2	ɪntarprataʃin	15.865	2	intɛrpɯɾtɛjɕɛn	14.583	2
ə ʊ d ɒ m ə t ə	oːdːoːmɑdːaːnɑtɕ	50.26	2	oʊdɑmətə	1.823	4	ɔdɔmɔdɛr	28.125	2	ʔædˤɑmɑdˤɑr	22.656	2	oʊdɑmətə˞	3.125	4	oʊdɑmədə˞	3.646	4	oɖɖamɛdɛɾ	21.094	4	audawmɛdɛɾ	29.167	2	oʊdɑmədə˞	3.646	2	ɒdɒmɛdɒ	16.667	2	ɒ̪ɒ̪ɒɒɒɒd̪ɒmɒd̪ɒɒd̪ɒ	95.312	1	odæːmɪdr	20.312	2	o̞dɒmidɛr	28.646	2
a ɪ ə ɹ l ə n d	iɾɪnd	40.365	2	aɪl̴ənd	25.521	4	ɑːlɛnd	38.802	2	ʔiːlænd	30.729	2	aɪl̴ənd	25.521	2	aɪɹl̴ənd	13.021	4	ɛilɛnd	27.604	2	ailand	26.563	2	aɪl̴ənd	25.521	2	ɒlɒnd	39.583	2	iːlɛndɛ	35.677	2	ʔæːjlænd	21.094	2	ɑiland	26.823	2
b e ɪ ɡ	päɣ	29.167	2	bæg	26.042	2	bæːg	27.083	2	ʔːbæːʕ	21.875	2	bæg	26.042	2	bæg	26.042	2	bäg	27.083	2	pæːɡ	28.125	2	bæg	26.042	2	bɛɡ	26.042	2	bɒɒɡ	8.333	2	bæg	26.042	2	bæɡ	26.042	2
ɪ ɡ z æ k t ɪ ŋ	ɾɣzaktɣtɕi	34.896	2	ɪgzæktɪŋ	0.0	0	eːgzaktːɛjn	17.708	2	ʔiʃaktɪn	11.198	2	ɪgzæktɪŋ	0.0	0	ɪgzæktɪŋ	0.0	0	ikzaktiŋ	2.083	2	iɡzakt͡sɛɲi	15.625	2	ɪgzæktɪŋ	0.0	0	ɛgzɛktɛn	4.427	2	exakt	40.104	1	exacting	22.396	1	eksaktiŋ	3.125	2
s t ɛ l ə	täɕimäɕimäɕimäɕimäɕi	314.167	1	stɛlɐ	1.667	4	stɛllɑ	22.083	4	ʔæːrrrrrrrrrrrrrrrrr	300.417	1	stɛl̴ə	833	4	stɛl̴a	2.5	2	stɛla	1.667	2	stɛlæ	2.5	2	stɛla	1.667	4	ɾɯtɯtɯ	29.583	1	ɒkɒtɒtɒtɒtɒtɒtɒtɒtɒt	310.833	1	stella	22.5	1	stɛlɛ	833	2
v æ n ə d e ɪ t	vɛnɛdːɛtːɛtː	16.146	2	vænədeɪt	0.0	0	vaːnɛdate	10.938	2	vanadat	15.104	2	vɛnədeɪt	1.042	2	vænədeɪt	0.0	0	vɛnɛdaɾɛtɛ	28.125	2	vɛnadejt	3.125	2	vɛnədeɪt	1.042	2	vɛnidate	11.979	1	vɯnɯdɯtɯtɯtɯtɯtɯtɯtɯ	154.687	1	 vanadate	10.938	1	vänidät	15.625	2
b e ɪ l f ə l	bɭjɭfɭ	22.619	2	beɪl̴fəl̴	1.19	4	bailful	4.167	2	bajlfo	17.857	2	beɪl̴fəl	595	4	beɪl̴fəl̴	1.19	4	bailful	4.167	2	bɛjɔwfɔ	20.238	4	beɪlfəl	0.0	0	bɛjilfo	18.75	2	bɒilfɒb	7.44	1	 Bæjlfæb?	6.845	1	bailful	4.167	2
f l ə m ɛ ŋ k ə ʊ	flɑmɑntoː	19.444	2	fl̴mɛŋkɜ˞	22.917	4	flamenco	15.972	1	flamant	28.704	1	fləmɛŋkoʊ	926	4	fl̴əmɛnko	14.583	4	flamenko	15.509	4	flɛmɛnkɛ	14.12	2	flɛmɛnkoʊ	3.472	4	flɛmɛnto	16.667	2	flɒmɒnɒnɒn	25.463	1	flamenco	15.972	1	flamɛŋko	12.963	2
ɪ d i j ə ʊ f ə ʊ n	aɾɭɭɭɭɭfäɳ	24.583	1	aɪdiəfoʊn	17.708	2	idːɛɔfɔɾn	25.417	2	ʔiːdejrafo̞n	23.75	2	aɪdiəfoʊn	17.708	2	aɪdiəfoʊn	17.708	2	idɛjɛfɛwn	13.333	2	ajdɨɛfan	28.125	2	aɪdɪɹfoʊn	18.333	4	ɒideːɛfoɾn	21.458	2	ɒgɒgɒgɒgɒgɒgɒg	57.917	1	iDeafone	29.167	1	idɛɛfɛɾɴ	26.875	2
b ɪ f ɔ l ə n	bɑfɑlːɑn	6.845	2	bəfɑlən	3.274	2	befalan	4.167	2	 Bifalːin	4.762	2	bəfɑlən	3.274	2	bətfɑl̴ən	18.155	2	bɨfɔlɛn	1.786	4	bɛfɔwɛn	6.25	2	bɪfɑlən	2.083	2	bifɒlːin	4.167	2	bɛfɒlɛn	2.381	2	befaln	17.262	2	bɯfɔlɨn	1.786	2
p ɑː s ɛ k	pɕɕɕɕ	25.833	1	pɑɹsɛk	20.833	2	pɕɑrsɛk	40.833	2	ɑːsˤɑq	24.583	2	pɑɹsɛk	20.833	4	pɑɹsɛk	20.833	4	pɑrsek	21.667	4	phɒrsɛk	42.083	4	pɑɹsɛk	20.833	4	paɾsɛk	21.25	4	pɒkɒkɒkɒtɒk	127.083	1	parsek	22.083	4	paɾsɛk	21.25	2
f l iː ɚ	liːa	30.208	2	sl̴	53.646	4	flɛɛɾ	32.292	4	ɣːæːræːræːræːræːræːr	242.188	1	fl̴ɪɹ	7.812	2	flia	6.25	2	fɯɾiɛɾ	57.812	4	slijɛ	31.771	4	flia	6.25	4	ɾia	33.854	1	ɒn	63.542	1	 fliːr	7.292	2	fleɛɾ	31.25	2
ɡ o ʊ l d b ɚ ɡ	ɣoːɻɻɻɻɪk	13.542	1	goʊl̴dbɜ˞g	1.823	2	ɡolɛbɛɾɡ	15.365	4	ɪd	76.042	1	goʊldbə˞g	1.302	4	goʊl̴dbə˞g	1.823	4	ɡoʋoɻdbɛɾɡ	29.688	2	go̞ːdbeːk	28.125	2	goʊldbə˞g	1.302	4	goldbɛrɡ	14.062	2	ɲɲɲɲɲɲɲɲɲɲɲɲɲɲɲɲɲɲɲɲ	172.917	1	goldberg	14.062	1	goldbɛɾɡ	14.062	2
v ɒ n d ə v ɔː t	mondarwːat	21.354	2	wɑndəwət	9.115	2	wɔndo̞wɔtː	10.417	2	mændawæːt	9.896	2	wʌndə˞wʌt	11.198	2	mɑndə˞wɔt	8.333	2	ʋonɖɛwotː	9.115	2	mɔndɔwɔt	7.812	2	wʌndə˞wɔt	10.156	2	monɒwɒt	21.875	2	ɯɯɯɯ	58.333	1	Wonder what?	35.417	1	wɔndɔwɔt	9.375	2
b ɪ ʃ ə ʊ d͡ʒ ə ʊ	taiʃoʒoʃoʃ	37.5	2	paɪʃoʊʐoʊ	16.667	2	baiɕouʐou	19.792	2	tajʃoʒo	27.344	2	paɪʂoʊʂoʊ	17.708	2	paɪʂoʊʐoʊ	17.188	2	bajʂoʐɾo	17.188	2	pajʂɔwʐɔ	20.833	2	paɪʂoʊʂoʊ	17.708	4	päiɕoːzo	29.688	2	dɲɲɲɲɲɲ	34.375	1	 Byeʃoʒo	25.521	1	taiɕɛʂɛ	30.469	2
v ɛː ɹ i ə n s	vɛjɛnts	10.119	2	vɛɹiənts	14.881	4	vaɾjant͡s	8.036	2	variːns	19.345	2	vɛɹiənts	14.881	4	vɛɹiənts	14.881	4	veɾijɛnt͡s	19.345	4	vɛwjɛns	5.06	2	vɛɹiənts	14.881	4	vɛɾiɒt͡sɯ	13.095	2	vɾiɾiɾɯt͡sɯ	41.667	1	 Variants	19.94	1	vaːɾiaɴt͡s	8.333	2
s ɪ s t ə h ʊ d	sɾɑd	53.646	1	sɪstə˞hʊd	1.302	4	sɯstɾɛxɔd	15.104	2	sisterhæd	16.667	2	sɪstə˞hʊd	1.302	4	sɪstə˞hʊd	1.302	4	siʂtɛrxɯd	15.625	2	sistøhɒd	3.646	2	sɪstə˞hʊd	1.302	4	sɯsɯtɾɯhɒd	27.604	2	sɒkɒtɒtɒtɒtɒtɒtɒtɒtɒ	160.156	1	sisterhood	27.604	1	sɨstɛɾxɔd	15.625	2
b ə l ɒ n j ə	pɛloːnja	3.571	2	bəl̴oʊnjə	15.476	2	bɨloɲja	5.06	2	baloːnja	3.571	2	bəl̴oʊniə	16.667	2	bəl̴oʊniə	16.667	4	bɛlɒɲja	3.869	2	pelonja	3.571	2	bəloʊnjə	14.881	4	beloɲja	5.06	2	pɒnɒnja	5.357	1	 Bilonja	3.571	2	bɨloɲja	5.06	2
s p ɒ t ə	spotːoːnː	24.167	2	spɔtɜ˞	3.75	2	spotːɕa	23.333	2	sˤbɑtˤɑ	5.833	2	spɑtɜ˞	3.333	2	spɑtɜ˞	3.333	2	spɒtːɑi	22.917	2	spɔt͡ʂa	4.583	2	spɑtə˞	3.333	4	spɒtɒn	22.5	2	ɲɲɲɲ	43.333	1	 Spot on!	22.5	1	spotɾ	6.667	2
ɔː d æ k s	o̞ɾäːtɕ	13.333	2	ɑdæks	3.75	2	ɔdaxs	2.5	2	ʔadæːs	27.5	2	ɑdæks	3.75	2	ɑdæks	3.75	2	ɔdaɾks	21.667	2	ɔɾaks	4.583	2	ɑdæks	3.75	2	ɒdɒks	4.167	2	o̞ːd̞ɒsː	23.333	1	 Odax.	23.333	1	ɔdaxt͡s	4.167	2
w ʌ n d ə ɹ f ʊ ɫ	tɛːtɛːnɛtɛːnɛtɛːnɛtɛ	91.667	1			1	wɾaɾɯdɯbo̞ː	24.074	1	 A A A	69.907	1			1	f	88.889	1	hɑndɯfɔ	26.157	3	ɳapo	59.028	1	fu	78.704	3	nantɯtɯtɯtɯtɯtɯtɯtɯt	134.491	1	ɒn̪ɒn̪ɒn̪ɒn̪ɒn̪ɒn̪ɒn	71.296	1	 Hæːnæːfæː	41.667	1	wɕondɯfɔl	16.435	2
k ə m p ɛ l d	kɛmpɛlt	1.19	2	kəmpɛl̴d	595	4	kɛmpɛlːed	15.476	4	kampalːad	17.857	2	kəmpɛl̴d	595	4	kəmpɛl̴d	595	4	kɛmpɛld	595	2	kɨmpɛwd	6.25	2	kəmpɛld	0.0	0	kɯpɛlt	15.476	2	kɯɾɯt	34.524	1	kampelːd	2.381	2	compɛld	1.786	1
l ɑː s t	læst	2.604	2	l̴æst	3.646	4	blast	26.562	4	 last	1.562	4	læst	2.604	2	læst	2.604	2	blast	26.562	3	laːst	521	4	læst	2.604	2	last	1.562	4	last	1.562	4	 Blast	26.562	1	blast	26.562	3
ə p ɪ ə	pɛpɛjɛr	78.125	1	əpɪɹ	6.771	2	apːiːɾ	12.5	2	ʔafːiːrʔafːiːrʔafːiː	259.375	1	əpɪɹ	6.771	2	əpɪɹ	6.771	2	apːiɾ	11.458	2	apiːr	11.458	4	əpɪɹ	6.771	2	ɒpeɾ	12.5	2	ɒpɛɾ	11.458	2	ʔapiːr	36.458	2	apːiɾ	11.458	2
v ɒ ɡ	vɣoːɣ	37.5	1	vɔg	2.778	2	vɔɡ	2.778	2	fong	36.111	2	hɔg	11.111	2	vɔg	2.778	2	fɔɡ	4.167	4	vɔɡ	2.778	2	vɔg	2.778	2	vɒɡ	0.0	0	vɒɡ	0.0	2	 wog	11.111	2	fɔɡ	4.167	2
s k ɪ t ə l z	sɯtɯs	30.357	1	skɪtəl̴z	595	4	skɨtːlɨs	10.714	2	skittls	6.25	2	skɪdəl̴z	1.19	2	skɪtəl̴z	595	4	skitːɛls	2.381	2	skeɾos	19.94	1	skɪdəlz	595	2	skittos	10.714	2	skidol	16.667	2	skittles	20.536	1	skɨttlɛs	21.131	2
t ɹ ɪ m ə	tɾɕimːɾɕimːɕ	107.083	1	tɹɪmə	0.0	0	tɾɛmːɛ	5.417	2	trama	7.917	2	tɹɪmɜ˞	2.083	2	tɹɪmə	0.0	0	tɾɛmːɛ	5.417	2	tʂɨma	9.167	2	tɹɪmə	0.0	0	tɾɛmɒ	6.25	2	tɯɾɯmɯ	24.583	2	 Trimmer	45.417	1	tɾɛma	5.417	2
æ p l̩	ɕpɔf	56.944	2	æpəl̴	36.111	4	ɑpːo	12.5	2	ʔɪtʔæʔ	115.278	1	æpəl̴	36.111	4	æpəl̴	36.111	4	aʔpo	43.75	2	apo	10.417	4	æpəl	34.722	4	kɯpof	81.25	1	ɒbɒ	14.583	2	 Apo.	10.417	1	aʔuɲ	53.472	2
ɡ ə z ɛ t	kɣɣɣɣɣɣɣɣɣɣɣɣɣɣɣɣɣɣɣ	320.0	1	kəzɛt	833	2	ukɛzat	24.167	2	ɣɑzæt	4.583	2	gəzɛt	0.0	0	kəzɛt	833	2	ukizːatː	27.5	3	kɨzɛt	2.5	2	kəzɛt	833	2	ɾkizɛt	23.333	2	kɯzɯt	3.333	2	 uːkɪzæːt	25.0	2	ukɛzɛtː	22.5	2
ɔː b ɪ t l̩	oːtɾoː	33.75	2	ɔɹbətəl̴	44.167	2	ɔrbitɔ	27.083	4	ʔæːbɪtʕæːrʔæːbɪtʕæːb	226.25	1	ɔɹbətəl	43.333	4	ɔlbɪtəl	41.667	2	uɾbɨtɛl	45.833	2	ɔbɨt͡sɔ	9.583	2	ɔɹbətəl	43.333	2	oːbitol	22.5	2	ɒbɒtɒn	30.0	1	 orbital	43.333	1	oɾbitɔl	43.333	2
